Dep,Freq,Percent
case,315766,11.528636119184906
det,286698,10.467361647859725
advmod,265898,9.707952366052798
obj,219345,8.008299467208671
amod,188712,6.889886749439844
nsubj,171724,6.269653822548688
conj,155265,5.668734718257331
nmod,144848,5.288409406306236
obl,143402,5.235615857196006
ROOT,129216,4.717684122979031
cc,126653,4.624108835033303
mark,95709,3.4943414880989976
xcomp,88780,3.2413632710970655
advcl,80391,2.935080364122147
cop,71606,2.614339472743596
acl,45514,1.661718944815407
ccomp,40064,1.462739108957342
acl:relcl,31977,1.1674822405932739
aux,23832,0.8701077886549365
fixed,18432,0.6729534558781382
csubj,15089,0.5509003198646498
aux:pass,13377,0.48839509436207973
dep,10155,0.37075967580525676
appos,9244,0.3374990096645784
nsubj:pass,8145,0.29737445193833745
nummod,8072,0.29470921743968814
flat:name,7260,0.2650630473999177
parataxis,6613,0.24144103752832724
expl,5792,0.21146627693392883
iobj,4804,0.1753943360480998
obl:agent,2980,0.1087999836434924
punct,1454,0.05308562960323421
compound,1333,0.04866791214656891
discourse,305,0.01113556879572657
flat,267,0.009748186453963916
flat:foreign,249,0.009091005344707921
